time	V(out)	V(n003)
1.016012489828370e-04	6.078396198760235e+00	1.500000000000000e+01
1.020895302328370e-04	9.647118700560604e+00	1.500000000000000e+01
1.025778114828370e-04	1.362573506384773e+01	1.500000000000000e+01
1.030660927328370e-04	1.770372537275475e+01	1.500000000000000e+01
1.035543739828370e-04	2.156342759104222e+01	1.500000000000000e+01
1.040426552328370e-04	2.490478124450412e+01	1.500000000000000e+01
1.045309364828370e-04	2.746865347562682e+01	1.500000000000000e+01
1.050192177328370e-04	2.905693424764702e+01	1.500000000000000e+01
1.055074989828370e-04	2.955893489482592e+01	1.500000000000000e+01
1.059766285038964e-04	2.896314020287829e+01	1.500000000000000e+01
1.064626367490952e-04	2.727813543963271e+01	1.500000000000000e+01
1.069509179990952e-04	2.464511492262838e+01	1.500000000000000e+01
1.074391992490952e-04	2.126746616799422e+01	1.500000000000000e+01
1.079274804990952e-04	1.740835744064096e+01	1.500000000000000e+01
1.084157617490953e-04	1.336914191159360e+01	1.500000000000000e+01
1.089040429990953e-04	9.464617471668008e+00	1.500000000000000e+01
1.093923242490953e-04	5.998493963617475e+00	1.500000000000000e+01
1.098806054990953e-04	3.239770560842663e+00	1.500000000000000e+01
1.103688867490953e-04	1.352886528866235e+00	1.500000000000000e+01
1.107710738654646e-04	5.625354003275490e-01	1.500000000000000e+01
1.111142581073114e-04	5.260835702653871e-01	1.500000000000000e+01
1.114557385675352e-04	1.126215680408984e+00	1.500000000000000e+01
1.119440198175352e-04	2.886501156970967e+00	1.500000000000000e+01
1.124323010675352e-04	5.502742605553335e+00	1.500000000000000e+01
1.129205823175352e-04	8.853340428794182e+00	1.500000000000000e+01
1.134088635675352e-04	1.267604518021365e+01	1.500000000000000e+01
1.138971448175352e-04	1.667235563756718e+01	1.500000000000000e+01
1.143854260675352e-04	2.053082651275149e+01	1.500000000000000e+01
1.148737073175352e-04	2.395133926129797e+01	1.500000000000000e+01
1.153619885675352e-04	2.666844466406370e+01	1.500000000000000e+01
1.158502698175352e-04	2.847196173521608e+01	1.500000000000000e+01
1.163385510675352e-04	2.925803771608569e+01	1.500000000000000e+01
1.167661244871738e-04	2.903338859965537e+01	1.500000000000000e+01
1.171928677870948e-04	2.791444018473785e+01	1.500000000000000e+01
1.176811490370948e-04	2.570389041262897e+01	1.500000000000000e+01
1.181694302870948e-04	2.269774699906675e+01	1.500000000000000e+01
1.186577115370948e-04	1.909808528845205e+01	1.500000000000000e+01
1.191459927870948e-04	1.518627489214824e+01	1.500000000000000e+01
1.196342740370948e-04	1.126744784986123e+01	1.500000000000000e+01
1.201225552870948e-04	7.646698607184354e+00	1.500000000000000e+01
1.206108365370948e-04	4.605332458885707e+00	1.500000000000000e+01
1.210991177870948e-04	2.379011425921964e+00	1.500000000000000e+01
1.215873990370948e-04	1.089744197766392e+00	1.500000000000000e+01
1.219881711723115e-04	8.494005886949253e-01	1.500000000000000e+01
1.224114281540051e-04	1.476197376421690e+00	1.500000000000000e+01
1.228997094040051e-04	3.161512337252400e+00	1.500000000000000e+01
1.233879906540051e-04	5.728885730468451e+00	1.500000000000000e+01
1.238762719040051e-04	9.013103741045457e+00	1.500000000000000e+01
1.243645531540051e-04	1.275711810363979e+01	1.500000000000000e+01
1.248528344040051e-04	1.666857720459233e+01	1.500000000000000e+01
1.253411156540051e-04	2.044265322955685e+01	1.500000000000000e+01
1.258293969040051e-04	2.378579690688154e+01	1.500000000000000e+01
1.263176781540051e-04	2.643856876307808e+01	1.500000000000000e+01
1.268059594040051e-04	2.819577124219479e+01	1.500000000000000e+01
1.272942406540051e-04	2.895525585809678e+01	1.500000000000000e+01
